X,Y,Z
424309.295509,4911644.40318,-32.9776763608
420783.06002699997,4912679.07189,-30.167601883699998
417256.806433,4913713.74654,-24.929385734
413730.533887,4914748.42777,-20.7573484626
410204.241322,4915783.11618,-17.8590125958
406677.92783,4916817.81243,-16.1288939644
403151.592435,4917852.5171300005,-15.6809762385
399625.234084,4918887.23094,-16.3114454799
396098.85188699997,4919921.95446,-14.4222712146
392572.444806,4920956.68833,-7.356760468239999
389046.01188299997,4921991.433180001,2.9603480056
385519.552166,4923026.18964,12.281711821099998
701860.537621,4826324.45096,11.304980495899999
698332.664015,4827360.651869999,10.3366540185
694804.8490350001,4828396.80903,10.5331576822
691277.091711,4829432.92306,9.80463491814
687749.3909979999,4830468.99462,2.17012114283
684221.746013,4831505.02432,-7.943540791649999
680694.1558,4832541.0128,-15.0386234639
677166.619334,4833576.96069,-15.1621896435
673639.135592,4834612.86863,-12.760681982000001
670111.7036369999,4835648.73725,-8.29342549237
666584.3226119999,4836684.56718,-6.18258409717
663056.991358,4837720.35906,-8.30742971786
659529.708954,4838756.11352,-5.01446795643
656002.474483,4839791.83119,-2.01917747162
652475.286956,4840827.512709999,14.8005054622
648948.145392,4841863.15869,46.74728431689999
645421.048736,4842898.7698,63.064858667399996
641893.996171,4843934.34664,53.202122764399995
638366.986578,4844969.88985,41.8649857511
634840.019072,4846005.40008,38.737935144299996
631313.092622,4847040.87794,42.0410782255
627786.206278,4848076.32407,48.4787465263
624259.359098,4849111.7391,62.3369544288
620732.5500640001,4850147.12367,65.9733274272
617205.7782460001,4851182.47841,58.3933228984
613679.042562,4852217.80395,50.867992788100004
610152.3421659999,4853253.10091,41.1952466395
606625.676066,4854288.369940001,38.0750902253
603099.0431979999,4855323.61166,42.4097673832
599572.442656,4856358.82671,58.4294833191
596045.8734640001,4857394.01571,72.7159326317
592519.334651,4858429.17931,79.64464331180001
588992.825252,4859464.3181300005,75.2829940465
585466.344228,4860499.4328,65.2111739752
581939.890704,4861534.52394,62.9207543217
578413.4635770001,4862569.5922,57.407399957299994
574887.062056,4863604.63822,44.333353204
571360.684974,4864639.66259,34.5730590266
567834.331475,4865674.665990001,32.0638797685
564308.000555,4866709.649019999,32.182736127
560781.691217,4867744.61233,19.226760506199998
557255.402544,4868779.55654,3.1436927544200004
553729.1334729999,4869814.48227,-10.1878082573
550202.883175,4870849.39017,-27.2587312422
546676.650522,4871884.28087,-47.4838844646
543150.434618,4872919.15499,-60.3347412692
539624.234424,4873954.01316,-65.0209133434
536098.049132,4874988.85602,-69.1948703021
532571.877558,4876023.6842,-74.6060260168
529045.718908,4877058.49833,-84.5021516127
525519.572008,4878093.29904,-100.288558362
521993.43607399997,4879128.08695,-112.25284152100001
518467.31009700004,4880162.86271,-111.977469481
514941.19299799995,4881197.62693,-102.343648641
511415.083933,4882232.38025,-84.420246689
507888.98183100007,4883267.123319999,-62.5647616594
504362.88578400004,4884301.85674,-37.569758819200004
500836.794733,4885336.58116,-8.76665787012
497310.70778,4886371.2972,16.5737014615
493784.623954,4887406.00549,35.0890077354
490258.54229099996,4888440.706669999,39.4868884661
486732.46167700004,4889475.40137,26.9941920433
483206.381313,4890510.0902,7.262262278810001
479680.30017299997,4891544.77382,-6.024395322869999
476154.217239,4892579.45285,-5.571401443559999
472628.13157200004,4893614.1279,4.4997411852499996
469102.042241,4894648.79963,17.8148096239
465575.94816599996,4895683.46866,27.552496461999997
462049.84842600004,4896718.13561,31.162076576900002
458523.74210699997,4897752.8011300005,31.556131032399996
454997.62814399996,4898787.46584,30.29842121
451471.50555600005,4899822.130369999,26.5180913837
447945.373445,4900856.79533,19.5209048027
444419.23084,4901891.46139,8.32905436177
440893.0767,4902926.12917,-3.3764362197000004
437366.91006499995,4903960.799269999,-11.9488844818
433840.72998199996,4904995.47235,-16.8750726469
430314.5355020001,4906030.14903,-21.3058653074
426788.32560599997,4907064.82996,-25.5218400371
423262.099279,4908099.51574,-29.184779921100002
419735.855667,4909134.20701,-28.6779813415
416209.593766,4910168.90442,-25.6619048127
412683.312501,4911203.60857,-20.7231611405
409157.010956,4912238.320119999,-15.6941455991
405630.68822199997,4913273.03969,-13.4821521508
402104.343163,4914307.76789,-14.5861223517
398577.975035,4915342.505369999,-16.7645075874
395051.582635,4916377.25277,-14.6118382207
391525.165152,4917412.0107,-9.11449072241
387998.72155,4918446.77982,0.33179715216899996
384472.25079699996,4919481.5607199995,11.335709577200001
700813.065205,4822778.39191,13.2454448628
697285.206199,4823814.600269999,15.2724644216
693757.405474,4824850.76506,17.1139968025
690229.6621300001,4825886.8869199995,14.243876046199999
686701.975196,4826922.966469999,4.86452767259
683174.343706,4827959.004369999,-7.246466094800001
679646.7665479999,4828995.00124,-15.380576248099999
676119.242921,4830030.9577,-14.709242803099999
672591.771798,4831066.8744,-7.4637476648800005
669064.352084,4832102.75197,-6.37596656385
665536.982995,4833138.59104,-6.9803192184
662009.663443,4834174.39225,-8.173241809
658482.3924270001,4835210.156219999,-4.34001728259
654955.1691020001,4836245.88359,0.8882188127159999
651427.992322,4837281.574990001,17.939564718499998
647900.86133,4838317.23107,48.3681524254
644373.774915,4839352.85243,61.0080407444
640846.732254,4840388.43972,49.789638247
637319.732301,4841423.9935800005,40.1778270162
633792.774168,4842459.51464,36.053677314699996
630265.856819,4843495.00352,37.5195456199
626738.979223,4844530.46085,43.355646515
623212.140587,4845565.88728,54.275711045200005
619685.3397359999,4846601.283430001,57.641678875699995
616158.575811,4847636.64994,58.0206113741
612631.847728,4848671.987430001,51.4461625265
609105.154713,4849707.2965400005,39.9494867379
605578.495616,4850742.5779099995,39.0417147994
602051.869521,4851777.832140001,44.5209683267
598525.2754439999,4852813.0599,57.4691242137
594998.712403,4853848.2618,66.2934934366
591472.179501,4854883.43848,71.37628958100001
587945.6756140001,4855918.59057,69.5863452483
584419.199932,4856953.7187,63.1203474908
580892.751419,4857988.8235,62.7890660117
577366.329047,4859023.905590001,59.9900805912
573839.9318670001,4860058.96563,45.130482899700006
570313.558939,4861094.00422,29.088347187300002
566787.2093260001,4862129.02202,23.569418935700003
563260.881943,4863164.01963,24.4366419089
559734.5758649999,4864198.99771,16.4953353155
556208.290174,4865233.95688,5.97711540352
552682.023801,4866268.89777,-7.11784919525
549155.775914,4867303.821,-25.859405233
545629.545381,4868338.72722,-46.6546004016
542103.331303,4869373.61705,-57.879758889899996
538577.1326359999,4870408.49113,-61.473030826700004
535050.948569,4871443.35008,-65.0378795315
531524.777992,4872478.19453,-71.302530197
527998.6199520001,4873513.02511,-82.7362644899
524472.4735020001,4874547.84247,-98.7237183129
520946.33762600005,4875582.64723,-110.38537671
517420.211386,4876617.44,-113.74405257
513894.09385500004,4877652.22145,-108.274906569
510367.98395200004,4878686.99218,-96.1801213991
506841.88083599997,4879721.75282,-77.1744692439
503315.78336400003,4880756.50402,-53.1088588001
499789.690704,4881791.2464,-23.9034339051
496263.6018,4882825.98059,2.5394586136200004
492737.51575600007,4883860.707230001,20.7112265471
489211.43152600003,4884895.4269199995,24.978088136100002
485685.348147,4885930.14034,16.51739788
482159.26474099996,4886964.84808,3.1945374658700003
478633.18012299994,4887999.55078,-7.24722914248
475107.09358000004,4889034.24908,-7.7098194914
471581.003939,4890068.9436099995,1.8111343303299998
468054.91026599996,4891103.63499,16.5937794962
464528.81170799996,4892138.32385,29.374220394800002
461002.70711,4893173.010840001,36.1524094596
457476.59563100006,4894207.69656,37.2831627231
453950.47628199996,4895242.38167,35.2032647789
450424.347999,4896277.066790001,33.8284963787
446898.20996000007,4897311.75254,29.552889238800002
443372.061035,4898346.43956,19.3003335502
439845.90033599996,4899381.12847,6.914431851180001
436319.726821,4900415.81993,-5.185600082580001
432793.539611,4901450.51453,-12.1656294803
429267.337679,4902485.21294,-16.5151632827
425741.120077,4903519.91576,-19.8213487174
422214.88579000003,4904554.62363,-24.0640420446
418688.63388000004,4905589.337180001,-26.518670163400003
415162.363344,4906624.05705,-24.894965042800003
411636.07317800005,4907658.783869999,-18.7302434622
408109.762466,4908693.51824,-13.3174016694
404583.430294,4909728.26083,-11.731496183399999
401057.075523,4910763.01226,-13.517937783499999
397530.697329,4911797.773159999,-15.1413561964
394004.294661,4912832.54414,-14.065333860399999
390477.866552,4913867.32586,-11.593213781800001
386951.41196,4914902.11893,-3.37586629384
383424.930084,4915936.92399,8.74439640264
699765.591096,4819232.35243,9.85490815586
696237.7464760001,4820268.56791,21.9519001636
692709.9598600001,4821304.74,24.0877753673
689182.2303439999,4822340.86936,16.459423200499998
