x_c y_c z_c m m_abs mu_pr mu_abs sigma_pr post_stdev post_res
-500000.000000 176743.271918 11667.576957 228.1692 3185.3331 172.7493 3129.9132 177.3924 57.8330 0.8937
-500000.000000 176743.271918 13393.663921 151.7650 3157.6466 134.2721 3140.1537 212.8732 65.1551 0.9063
-500000.000000 176743.271918 15238.785126 100.6012 3143.5989 109.1370 3152.1347 226.5177 67.3129 0.9117
-500000.000000 176743.271918 17202.940572 51.8701 3120.9538 92.4696 3161.5532 240.5341 69.4185 0.9167
-500000.000000 176743.271918 19286.130259 9.6423 3103.1218 85.4233 3178.9027 255.5485 71.4470 0.9218
-500000.000000 176743.271918 21488.354186 -29.8340 3076.7442 84.9844 3191.5626 270.1892 73.3010 0.9264
-500000.000000 176743.271918 23809.612355 -78.9833 3035.4705 77.1087 3191.5626 283.7040 75.2964 0.9296
-500000.000000 200309.041507 60.562355 -17.3689 1025.9583 -16.3273 1027.0000 5.0000 3.5081 0.5077
-500000.000000 200309.041507 239.204186 -122.1921 1022.8596 -118.0517 1027.0000 5.0000 3.5055 0.5085
-500000.000000 200309.041507 536.880259 -166.3801 1021.1897 -160.5697 1027.0000 5.0000 3.5041 0.5088
-500000.000000 200309.041507 953.590572 -239.8466 1018.9307 -231.7773 1027.0000 5.0000 3.5027 0.5092
-500000.000000 200309.041507 1489.335126 -324.7672 1016.5020 -314.2693 1027.0000 5.0000 3.5020 0.5094
-500000.000000 200309.041507 2144.113921 -421.2972 1013.9001 -408.1972 1027.0000 5.0000 3.5021 0.5094
-500000.000000 200309.041507 2917.926957 -545.4619 1011.4581 -529.9199 1027.0000 5.0000 3.5027 0.5093
-500000.000000 200309.041507 3810.774234 -760.6979 1005.9873 -739.6852 1027.0000 5.0000 3.5035 0.5090
-500000.000000 200309.041507 4822.655752 347.4297 2887.8083 359.6214 2900.0000 20.0000 12.6892 0.5975
-500000.000000 200309.041507 5953.571511 155.0502 2841.7638 213.2864 2900.0000 50.0000 25.3204 0.7436
-500000.000000 200309.041507 7203.521511 57.9673 2806.7319 151.2354 2900.0000 100.0000 39.8765 0.8410
-500000.000000 200309.041507 8572.505752 45.2538 2849.7957 95.4581 2900.0000 112.6939 46.3808 0.8306
-500000.000000 200309.041507 10060.524234 196.3180 3094.3841 281.5028 3179.5689 144.0976 53.0675 0.8644
-500000.000000 200309.041507 11667.576957 185.0530 3141.7751 264.5327 3221.2549 153.8918 55.6872 0.8691
-500000.000000 200309.041507 13393.663921 132.9908 3138.5290 261.8351 3267.3733 235.4106 66.9391 0.9191
-500000.000000 200309.041507 15238.785126 117.9898 3160.7084 257.2814 3300.0000 249.3178 68.9728 0.9235
-500000.000000 200309.041507 17202.940572 90.0395 3158.8867 231.1528 3300.0000 261.8460 70.8798 0.9267
-500000.000000 200309.041507 19286.130259 62.7311 3155.9921 206.7390 3300.0000 273.8938 72.6187 0.9297
-500000.000000 200309.041507 21488.354186 37.3916 3143.7524 193.6392 3300.0000 286.2721 74.2493 0.9327
-500000.000000 200309.041507 23809.612355 3.1838 3117.4405 185.7434 3300.0000 298.8032 76.1282 0.9351
-500000.000000 223874.811096 60.562355 -16.5211 1026.8480 -16.3691 1027.0000 5.0000 3.5081 0.5077
-500000.000000 223874.811096 239.204186 -120.7888 1024.5656 -118.3544 1027.0000 5.0000 3.5053 0.5085
-500000.000000 223874.811096 536.880259 -164.3900 1023.5914 -160.9815 1027.0000 5.0000 3.5038 0.5089
-500000.000000 223874.811096 953.590572 -237.5514 1021.8202 -232.3716 1027.0000 5.0000 3.5024 0.5093
-500000.000000 223874.811096 1489.335126 -322.4088 1019.6663 -315.0751 1027.0000 5.0000 3.5018 0.5095
-500000.000000 223874.811096 2144.113921 -419.1055 1017.1384 -409.2439 1027.0000 5.0000 3.5020 0.5095
-500000.000000 223874.811096 2917.926957 -543.6728 1014.6059 -531.2787 1027.0000 5.0000 3.5026 0.5093
-500000.000000 223874.811096 3810.774234 -759.7279 1008.8540 -741.5819 1027.0000 5.0000 3.5035 0.5090
-500000.000000 223874.811096 4822.655752 379.8870 2919.3434 360.5435 2900.0000 20.0000 12.6877 0.5976
-500000.000000 223874.811096 5953.571511 224.4488 2910.6155 213.8333 2900.0000 50.0000 25.3159 0.7436
-500000.000000 223874.811096 7203.521511 109.7940 2858.1708 151.6232 2900.0000 100.0000 39.8796 0.8410
-500000.000000 223874.811096 8572.505752 37.3122 2841.6093 95.7029 2900.0000 137.1620 46.8987 0.8831
-500000.000000 223874.811096 10060.524234 196.1369 3093.4813 282.2246 3179.5689 166.3699 53.2668 0.8975
-500000.000000 223874.811096 11667.576957 178.9528 3134.9967 265.2110 3221.2549 173.7112 55.6784 0.8973
-500000.000000 223874.811096 13393.663921 114.6527 3119.5196 262.5064 3267.3733 252.7415 68.3546 0.9269
-500000.000000 223874.811096 15238.785126 100.6758 3142.7347 257.9411 3300.0000 264.2837 70.2611 0.9293
-500000.000000 223874.811096 17202.940572 69.4250 3137.6795 231.7455 3300.0000 274.6606 72.0180 0.9312
-500000.000000 223874.811096 19286.130259 41.4433 3134.1742 207.2691 3300.0000 284.8065 73.5514 0.9333
-500000.000000 223874.811096 21488.354186 20.8986 3126.7629 194.1357 3300.0000 295.5336 75.0184 0.9356
-500000.000000 223874.811096 23809.612355 -2.7544 3111.0260 186.2196 3300.0000 306.6472 76.8053 0.9373
-500000.000000 247440.580685 60.562355 -16.9326 1026.4786 -16.4112 1027.0000 5.0000 3.5081 0.5077
-500000.000000 247440.580685 239.204186 -121.7965 1023.8622 -118.6586 1027.0000 5.0000 3.5056 0.5084
-500000.000000 247440.580685 536.880259 -165.7695 1022.6258 -161.3953 1027.0000 5.0000 3.5046 0.5087
-500000.000000 247440.580685 953.590572 -239.2992 1020.6697 -232.9689 1027.0000 5.0000 3.5032 0.5091
-500000.000000 247440.580685 1489.335126 -324.4733 1018.4117 -315.8850 1027.0000 5.0000 3.5023 0.5094
