X,Y,Z,formation,formationID
589190.7077,4730193.5524,4658.32877,seds2_PA,5
590142.70079,4729881.01269,4742.09512,seds2_PA,5
591095.36493,4729569.41588,4813.76406,seds2_PA,5
592047.17917,4729257.67398,4824.1888,seds2_PA,5
592999.62967,4728944.65203,4774.43779,seds2_PA,5
593951.9997,4728632.58449,4488.7432,seds2_PA,5
594904.28979,4728321.47135,4188.53228,seds2_PA,5
595856.46396,4728009.08991,3218.449,seds2_PA,5
596808.5401,4727696.55153,3007.04802,seds2_PA,5
597760.53681,4727384.96756,2877.94452,seds2_PA,5
598712.43584,4727073.22666,2834.60308,seds2_PA,5
599664.23715,4726761.32883,2792.90158,seds2_PA,5
600616.69233,4726449.26109,2627.82026,seds2_PA,5
601568.29816,4726137.04927,2431.94128,seds2_PA,5
602519.82579,4725825.79189,2156.31221,seds2_PA,5
603471.98777,4725513.25288,1899.36649,seds2_PA,5
365136.18806,4803597.23299,4661.8889,base_AU,7
366099.49861,4803280.92648,4578.89299,base_AU,7
367061.9156,4802965.56076,4646.73079,base_AU,7
368024.98707,4802650.05865,4748.77127,base_AU,7
368987.92712,4802335.5143,4655.05601,base_AU,7
369950.7847,4802019.70528,4711.30779,base_AU,7
370913.53522,4801703.74281,4773.30179,base_AU,7
371876.91607,4801388.75445,4948.04848,base_AU,7
372839.42892,4801073.5962,5018.31273,base_AU,7
373801.83505,4800758.2845,4998.88367,base_AU,7
374764.89556,4800442.83535,4794.55894,base_AU,7
375727.84925,4800127.23254,4846.97017,base_AU,7
376689.93506,4799811.46032,4757.90858,base_AU,7
377652.65231,4799496.66152,4539.58055,base_AU,7
378615.28567,4799180.59784,4436.23109,base_AU,7
379577.78974,4798865.49174,4431.72337,base_AU,7
380540.18728,4798550.23198,4579.69336,base_AU,7
381502.47829,4798234.81859,5007.27791,base_AU,7
382464.64085,4797920.36278,5049.25218,base_AU,7
383427.47969,4797604.65699,5147.2865,base_AU,7
384389.42964,4797289.89381,4946.94241,base_AU,7
385351.29475,4796973.86577,4931.14712,base_AU,7
