x y z
-500000.000000 247440.580685 10060.524234
-500000.000000 247440.580685 11667.576957
-500000.000000 247440.580685 13393.663921
-500000.000000 247440.580685 15238.785126
-500000.000000 247440.580685 17202.940572
-500000.000000 247440.580685 19286.130259
-500000.000000 247440.580685 21488.354186
-500000.000000 247440.580685 23809.612355
-500000.000000 271006.350274 60.562355
-500000.000000 271006.350274 239.204186
-500000.000000 271006.350274 536.880259
-500000.000000 271006.350274 953.590572
-500000.000000 271006.350274 1489.335126
-500000.000000 271006.350274 2144.113921
-500000.000000 271006.350274 2917.926957
-500000.000000 271006.350274 3810.774234
-500000.000000 271006.350274 4822.655752
-500000.000000 271006.350274 5953.571511
-500000.000000 271006.350274 7203.521511
-500000.000000 271006.350274 8572.505752
-500000.000000 271006.350274 10060.524234
-500000.000000 271006.350274 11667.576957
-500000.000000 271006.350274 13393.663921
-500000.000000 271006.350274 15238.785126
-500000.000000 271006.350274 17202.940572
-500000.000000 271006.350274 19286.130259
-500000.000000 271006.350274 21488.354186
-500000.000000 271006.350274 23809.612355
-500000.000000 294572.119864 60.562355
-500000.000000 294572.119864 239.204186
-500000.000000 294572.119864 536.880259
-500000.000000 294572.119864 953.590572
-500000.000000 294572.119864 1489.335126
-500000.000000 294572.119864 2144.113921
-500000.000000 294572.119864 2917.926957
-500000.000000 294572.119864 3810.774234
-500000.000000 294572.119864 4822.655752
-500000.000000 294572.119864 5953.571511
-500000.000000 294572.119864 7203.521511
-500000.000000 294572.119864 8572.505752
-500000.000000 294572.119864 10060.524234
-500000.000000 294572.119864 11667.576957
-500000.000000 294572.119864 13393.663921
-500000.000000 294572.119864 15238.785126
-500000.000000 294572.119864 17202.940572
-500000.000000 294572.119864 19286.130259
-500000.000000 294572.119864 21488.354186
-500000.000000 294572.119864 23809.612355
-500000.000000 318137.889453 60.562355
-500000.000000 318137.889453 239.204186
-500000.000000 318137.889453 536.880259
-500000.000000 318137.889453 953.590572
-500000.000000 318137.889453 1489.335126
-500000.000000 318137.889453 2144.113921
-500000.000000 318137.889453 2917.926957
-500000.000000 318137.889453 3810.774234
-500000.000000 318137.889453 4822.655752
-500000.000000 318137.889453 5953.571511
-500000.000000 318137.889453 7203.521511
-500000.000000 318137.889453 8572.505752
-500000.000000 318137.889453 10060.524234
-500000.000000 318137.889453 11667.576957
-500000.000000 318137.889453 13393.663921
-500000.000000 318137.889453 15238.785126
-500000.000000 318137.889453 17202.940572
-500000.000000 318137.889453 19286.130259
-500000.000000 318137.889453 21488.354186
-500000.000000 318137.889453 23809.612355
-500000.000000 341703.659042 60.562355
-500000.000000 341703.659042 239.204186
-500000.000000 341703.659042 536.880259
-500000.000000 341703.659042 953.590572
-500000.000000 341703.659042 1489.335126
-500000.000000 341703.659042 2144.113921
